Alternatif,Nomor_Polis,Appraisal_Score,Ranking_EDAS
A04,POL-3314,0.9941273025399882,1
A11,POL-0058,0.9819739871916298,2
A06,POL-0106,0.9457489426705017,3
A10,POL-0400,0.9424195655768901,4
A03,POL-1625,0.9326014610464215,5
A07,POL-1707,0.9235159749821753,6
A08,POL-3008,0.8991996156668335,7
A02,POL-3030,0.8984005737839924,8
A13,POL-0564,0.8868007428194118,9
A05,POL-0835,0.8586367180986929,10
A12,POL-1479,0.8540755054316592,11
A15,POL-3114,0.8539877662327371,12
A31,POL-0817,0.8514501356788824,13
A09,POL-3605,0.8458820050892342,14
A28,POL-3180,0.8336474821467722,15
A23,POL-0430,0.8303910358194422,16
A01,POL-2513,0.8106379209892111,17
A16,POL-1510,0.8097610343204713,18
A17,POL-3328,0.7878648879002552,19
A20,POL-1554,0.7750287175227648,20
A21,POL-3017,0.7718566646463623,21
A22,POL-3654,0.7696907721918002,22
A24,POL-0110,0.7622496990271259,23
A25,POL-1404,0.7510239308678279,24
A26,POL-0582,0.7493499243929378,25
A14,POL-2480,0.7448817548700709,26
A27,POL-2390,0.7448119444644873,27
A38,POL-1309,0.7405579948994773,28
A29,POL-1423,0.737949194603798,29
A30,POL-3472,0.7202713107978085,30
A18,POL-0701,0.7188187400695183,31
A40,POL-2371,0.7129386163269595,32
A39,POL-0683,0.6881613555381867,33
A35,POL-3719,0.6570500611517978,34
A37,POL-0049,0.6562218973550573,35
A49,POL-0465,0.636525595322342,36
A32,POL-0145,0.6307837982481377,37
A36,POL-0500,0.6306498270812027,38
A34,POL-3124,0.62796935476199,39
A33,POL-1538,0.6111381638843638,40
A46,POL-1528,0.601123958934459,41
A19,POL-0158,0.5957485842087034,42
A47,POL-3084,0.5399790729877563,43
A44,POL-0816,0.5189052755341588,44
A48,POL-3661,0.467473841546831,45
A52,POL-0600,0.42112525481959817,46
A42,POL-1448,0.41620613837590975,47
A45,POL-0146,0.4155472962064909,48
A41,POL-3182,0.3718936088784851,49
A51,POL-1266,0.3498416646960862,50
A43,POL-3319,0.3400187406150181,51
A50,POL-0097,0.011759642678722421,52
