Alternatif,Nomor_Polis,Ranking_SAW,Ranking_EDAS,Ranking_TOPSIS,Ranking_AHP,Nilai_SAW,Nilai_EDAS,Nilai_TOPSIS,Nilai_AHP,Avg_Rank,Std_Rank,Range_Rank,Borda_Score
A04,POL-3314,1,1,2,1,0.7898376747880586,0.9941273025399882,0.9324153203712624,0.7995426471883695,1.25,0.5,1,207
A06,POL-0106,2,3,9,2,0.714928063376699,0.9457489426705017,0.9004804908566818,0.7466598540489601,4.0,3.3665016461206925,7,196
A11,POL-0058,6,2,4,5,0.5452474409145845,0.9819739871916298,0.9150423571720024,0.5943119270870637,4.25,1.707825127659933,4,195
A03,POL-1625,5,5,3,4,0.5605720862500748,0.9326014610464215,0.9244568212145238,0.6118954166999722,4.25,0.9574271077563381,2,195
A07,POL-1707,10,6,5,6,0.46958389685138513,0.9235159749821753,0.91010551462159,0.5889373756931717,6.75,2.217355782608345,5,185
A13,POL-0564,3,9,13,3,0.661477162555712,0.8868007428194118,0.8972449056849375,0.6723156693320895,7.0,4.898979485566356,10,184
A02,POL-3030,4,8,10,7,0.5664168007354622,0.8984005737839924,0.9002544698357893,0.5781546377835288,7.25,2.5,6,183
A10,POL-0400,12,4,1,13,0.4481908754126176,0.9424195655768901,0.9428671160407749,0.463191808247629,7.5,5.916079783099616,12,182
A15,POL-3114,9,12,8,10,0.511794455663672,0.8539877662327371,0.9017388382074286,0.5016487635163731,9.75,1.707825127659933,4,173
A08,POL-3008,16,7,6,16,0.41137239717115337,0.8991996156668335,0.908369475142647,0.44784467688084234,11.25,5.5,10,167
A31,POL-0817,8,13,15,11,0.516282396040596,0.8514501356788824,0.8942183817209294,0.49304006458874855,11.75,2.9860788111948193,7,165
A28,POL-3180,11,15,27,8,0.4549432812208699,0.8336474821467722,0.8751618674476873,0.5340494243567203,15.25,8.341662504161466,19,151
A05,POL-0835,18,10,17,19,0.39917879713371196,0.8586367180986929,0.890531781994296,0.42202824366779085,16.0,4.0824829046386295,9,148
A16,POL-1510,14,18,11,23,0.42314429484034977,0.8097610343204713,0.8997540728942752,0.3927711706806681,16.5,5.196152422706632,12,146
A12,POL-1479,24,11,14,17,0.38312789252058344,0.8540755054316592,0.8942664464446783,0.4454372130101282,16.5,5.5677643628300215,13,146
A09,POL-3605,22,14,25,9,0.3907182761266703,0.8458820050892342,0.8783561225774263,0.506537866636682,17.5,7.32575365861197,16,142
A01,POL-2513,13,17,29,14,0.4251716254092133,0.8106379209892111,0.8640937139945296,0.46132275328570915,18.25,7.365459931328117,16,139
A20,POL-1554,26,20,12,20,0.3670630388974404,0.7750287175227648,0.8975975473439078,0.40361838472080586,19.5,5.744562646538029,14,134
A23,POL-0430,30,16,22,15,0.35721116246801105,0.8303910358194422,0.8846051379846265,0.4504880894687825,20.75,6.898067362191625,15,129
A22,POL-3654,15,22,21,32,0.4173196632590618,0.7696907721918002,0.8855673759549215,0.35108253510378445,22.5,7.047458170621991,17,122
A40,POL-2371,7,32,40,12,0.5225180808504534,0.7129386163269595,0.7911183328631808,0.47939449123189,22.75,15.777093099385155,33,121
A25,POL-1404,17,24,24,27,0.4029921891280479,0.7510239308678279,0.8795263159398974,0.37852459664234145,23.0,4.242640687119285,10,120
A38,POL-1309,29,28,19,24,0.35756278981081907,0.7405579948994773,0.8890560913710005,0.3909072638715463,25.0,4.546060565661952,10,112
