Alternatif,Nomor_Polis,D_Plus,D_Minus,Nilai_Preferensi,Ranking_TOPSIS
A10,POL-0400,0.012576506717028604,0.20755077980336234,0.9428671160407749,1
A04,POL-3314,0.015364902109402308,0.21197807256779075,0.9324153203712624,2
A03,POL-1625,0.016911390044254525,0.20695250231694243,0.9244568212145238,3
A11,POL-0058,0.019662412066631163,0.21177541285559554,0.9150423571720024,4
A07,POL-1707,0.02072776077216475,0.20985101928215594,0.91010551462159,5
A08,POL-3008,0.021102326515569526,0.20919567241459988,0.908369475142647,6
A18,POL-0701,0.021192319531616093,0.19660242097562522,0.9026959077053034,7
A15,POL-3114,0.0223315150510482,0.2049354401086095,0.9017388382074286,8
A06,POL-0106,0.02335464434225227,0.21131938634070851,0.9004804908566818,9
A02,POL-3030,0.02273936802366462,0.20523443677970726,0.9002544698357893,10
A16,POL-1510,0.02266275445649416,0.20340881883139392,0.8997540728942752,11
A20,POL-1554,0.02318410156093384,0.2032177175321615,0.8975975473439078,12
A13,POL-0564,0.02384587398459887,0.2082192527475498,0.8972449056849375,13
A12,POL-1479,0.024155605871472696,0.2043017291866369,0.8942664464446783,14
A31,POL-0817,0.024220093252086572,0.20474306354316765,0.8942183817209294,15
A17,POL-3328,0.02428527971264545,0.20217811535129512,0.8927628913017547,16
A05,POL-0835,0.025507694984141283,0.2075069228550946,0.890531781994296,17
A26,POL-0582,0.024259621462088904,0.1963987717691842,0.8900580163444666,18
A38,POL-1309,0.024856221235952904,0.1991869150039377,0.8890560913710005,19
A29,POL-1423,0.024763372156675748,0.1983665876963132,0.8890181660365498,20
A22,POL-3654,0.025966243344050132,0.20094669831689824,0.8855673759549215,21
A23,POL-0430,0.026839810992195564,0.20575122922777384,0.8846051379846265,22
A24,POL-0110,0.026078398435502432,0.19831177964503383,0.8837810163591804,23
A25,POL-1404,0.027208927759635702,0.19864062579150787,0.8795263159398974,24
A09,POL-3605,0.028651563228603995,0.20688485533747394,0.8783561225774263,25
A32,POL-0145,0.027480399660918833,0.19437799365360084,0.8761354066872693,26
A28,POL-3180,0.028188409366137004,0.19761126249554214,0.8751618674476873,27
A27,POL-2390,0.030359484160720738,0.19897196633013017,0.8676174414990153,28
A01,POL-2513,0.0323548952823825,0.205712792632216,0.8640937139945296,29
A30,POL-3472,0.030273465144332934,0.18996620848428594,0.8625430893283023,30
A21,POL-3017,0.032450208970481856,0.19580526771316836,0.8578338209362832,31
A14,POL-2480,0.032370978198948144,0.19418227301945185,0.857115366807329,32
A35,POL-3719,0.03463876959052862,0.19344206965713262,0.8481294189166142,33
A37,POL-0049,0.03349001938621757,0.18683495517642248,0.8479971712117633,34
A39,POL-0683,0.03480183275640585,0.19327406984994627,0.8474111804065855,35
A36,POL-0500,0.036688495352182035,0.19316802485529225,0.8403852311038814,36
A34,POL-3124,0.03719068797886169,0.1910361267304197,0.8370450552612071,37
A33,POL-1538,0.04038576818121536,0.1840660174923753,0.8200692943474889,38
A46,POL-1528,0.042115435358807,0.18397587183246078,0.8137237743369835,39
A40,POL-2371,0.04855054691165979,0.18388031969885418,0.7911183328631808,40
A49,POL-0465,0.049821074793633,0.18074374909938695,0.7839172777858363,41
A47,POL-3084,0.05875860433207836,0.1688785941292581,0.7418760873475679,42
A45,POL-0146,0.06674249544882903,0.16436716876048876,0.7112085482138045,43
A19,POL-0158,0.07655989628695686,0.18797877408085434,0.7105909083896546,44
A48,POL-3661,0.07048138701240307,0.1712201921056122,0.7083950081352625,45
A44,POL-0816,0.06621298247826359,0.15987566206205092,0.7071370717760354,46
A51,POL-1266,0.09243408619867736,0.1566283133026179,0.6288717751705566,47
A52,POL-0600,0.09003087374378048,0.1504266826404073,0.6255851756226996,48
A41,POL-3182,0.08760959872854385,0.14342478092981645,0.620794104937561,49
A42,POL-1448,0.09857845778146215,0.15901160863621588,0.6173048939642773,50
A43,POL-3319,0.11969903678486558,0.14149334342946265,0.5417207933606508,51
A50,POL-0097,0.1841911723479418,0.09713467150469264,0.34527461172594665,52
